url,datepost,category,viewscount,title,description,author
https://cointelegraph.com/news/wallet-developer-offers-on-chain-bounty-daring-hackers-430k-btc,2024-01-07T14:00:00+00:00,News,2820,Wallet developer offers ‘on-chain bounty’ daring hackers to take $430K BTC,Zengo Wallet will reveal a wallet address containing up to 10 BTC and will also disclose two out of three security factors used to create it.,Tom Blackstone
https://cointelegraph.com/news/how-will-ethereum-price-react-to-bitcoin-etf-approval,2024-01-07T13:24:29+00:00,Market Analysis,8994,How will Ethereum price react to Bitcoin ETF approval?,A potential Bitcoin ETF approval should lift all boats including Ethereum as ETH price eyes 75% upside in the months ahead.  ,Yashu Gola
https://cointelegraph.com/news/bitcoin-traders-breakout-bulls-44k-etf,2024-01-07T11:07:44+00:00,Market Update,7460,Bitcoin traders see breakout as bulls cling to $44K in ETF countdown,"BTC price action is due a sea change in the coming days thanks to the spot Bitcoin ETF decision, while U.S. inflation data is also inbound.",William Suberg
https://cointelegraph.com/news/bitcoin-etf-unit-bias-psychology-vaneck,2024-01-07T05:35:36+00:00,News,8170,"Bitcoin ETFs will solve unit bias psychology, says VanEck adviser","Gabor Gurbacs, an adviser at VanEck, highlights the psychology that makes investors feel more satisfied when owning an entire asset rather than just a fraction, particularly with Bitcoin.",Ciaran Lyons
https://cointelegraph.com/news/blackrock-workforce-cuts-bitcoin-etf-deadline,2024-01-07T01:24:08+00:00,News,16218,BlackRock to slash 3% of workforce ahead of Bitcoin ETF deadline: Report,BlackRock is reportedly set to break the news to 600 employees in the coming days amid hopes for the approval of its spot Bitcoin ETF application.,Ciaran Lyons
https://cointelegraph.com/news/what-next-steps-for-bitcoin-etf-sec,2024-01-06T18:41:47+00:00,Follow up,24854,What are the next steps for the Bitcoin ETF?,Final amendments from asset managers seeking regulatory approval for a spot Bitcoin ETF are due on Jan. 8. Analysts expect trading to begin on Jan. 11.,Ana Paula Pereira
https://cointelegraph.com/news/bitcoins-first-wallet-sees-1-17-m-in-surprise-transaction,2024-01-06T13:29:04+00:00,News,12939,Bitcoin’s first wallet receives $1.17M in surprise transaction,"Conor Grogan, a director at Coinbase, suggested that the anonymous Bitcoin transfer could be some sort of weird ETF marketing scheme.",Amaka Nwaokocha
https://cointelegraph.com/news/coinbase-leverages-mifid-ii-to-enhance-european-derivatives-offerings,2024-01-06T07:17:26+00:00,News,1815,Coinbase acquiring Cyprus-based entity to expand EU derivatives offerings,"While Coinbase aims to compete in the EU derivatives market, it faces stiff competition from more prominent players like Binance, Bybit, OKX and Deribit.",Amaka Nwaokocha
https://cointelegraph.com/news/spot-bitcoin-etf-mistake-better-markets,2024-01-06T02:23:00+00:00,News,29432,"Bitcoin ETF approval would be a ‘historic mistake,’ says Better Markets CEO","Bloomberg ETF analyst James Seyffart disagreed with the letter, arguing that denying the spot Bitcoin ETF would be a “criminal move.”",Ciaran Lyons
https://cointelegraph.com/news/price-analysis-1-5-btc-eth-bnb-sol-xrp-ada-avax-doge-dot-matic,2024-01-05T22:47:13+00:00,Price Analysis,6677,"Price analysis 1/5: BTC, ETH, BNB, SOL, XRP, ADA, AVAX, DOGE, DOT, MATIC","Bitcoin is trading just below the $45,000 level as traders await the SEC's final decision on the spot Bitcoin ETF applications.",Rakesh Upadhyay
https://cointelegraph.com/news/sec-closer-spot-bitcoin-etf-approval,2024-01-05T22:14:59+00:00,Breaking news,49254,SEC moves closer to spot Bitcoin ETF approval with 19b-4 amendment filings,"As the week draws to a close, 11 spot Bitcoin ETF applicants have submitted 19b-4 amendment forms, with the deadline for the U.S. SEC to approve or deny the product just days away.",Turner Wright
https://cointelegraph.com/news/why-is-bitcoin-price-down-today,2024-01-05T20:03:42+00:00,Markets News,1355,Why is Bitcoin price down today?,Bitcoin price is down today as traders begin to realize profits ahead of the long-awaited spot ETF decision.,Kyle White
https://cointelegraph.com/news/what-happened-in-crypto-today,2024-01-05T18:50:15+00:00,Recap,3319,Here’s what happened in crypto today,"Need to know what happened in crypto today? Here is the latest news on daily trends and events impacting Bitcoin price, blockchain, DeFi, NFTs, Web3 and crypto regulation.",Serge Egon Ostman
https://cointelegraph.com/news/vaneck-pledges-profits-core-devs-spot-bitcoin-etf,2024-01-05T17:53:23+00:00,News,8309,VanEck pledges 5% of spot Bitcoin ETF profits to core devs after SEC approval,"As many asset managers are awaiting a decision from the SEC, VanEck said it signed a pledge to donate profits from its spot crypto ETF to Bitcoin core developers through Brink.",Turner Wright
https://cointelegraph.com/news/btc-price-centers-43k-bitcoin-traders-etf-news,2024-01-05T17:18:39+00:00,Market Update,6898,BTC price centers on $43K as nervous Bitcoin traders await ETF news,"Bitcoin feels stuck in limbo amid a lack of cues over whether or not a U.S. ETF will get the go-ahead, but BTC price holds higher versus earlier in the week.",William Suberg
